id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
3015,228,School,SCH,SCH228,GGPS SABOO WALI,33.42902495,72.65749187
3016,229,School,SCH,SCH229,GGPS SHAH RAI BHADUR,33.47177855,72.59242939
3017,230,School,SCH,SCH230,GMES TANAZA DAM,33.46429399,72.73832052
3018,231,School,SCH,SCH231,GMPS SHAH RAI CHARAGH,33.47611427,72.60193169
3019,232,School,SCH,SCH232,GES LUND,33.39386078,72.48711398
3020,233,School,SCH,SCH233,GES MAKI DHOK,33.41642182,72.56561878
3021,234,School,SCH,SCH234,GES PHAMRA JAGIR,33.42326709,72.71187231
3022,235,School,SCH,SCH235,GPS ARRORIA,33.46481764,72.67396237
3023,236,School,SCH,SCH236,GPS DHARI RAI DITTA,33.41832876,72.73557544
3024,237,School,SCH,SCH237,GPS DHOK ALI MUHAMMAD,33.42086318,72.60893795
3025,238,School,SCH,SCH238,GPS DHOK DIN ABAD DAKHLY NAKODAR,33.47225486,72.63859948
3026,239,School,SCH,SCH239,GPS DHOK MOUND,33.43559985,72.57596822
3027,240,School,SCH,SCH240,GPS DHOK WALARIAN,33.50208515,72.74443919
3028,241,School,SCH,SCH241,GPS MALIK PUR,33.47883175,72.69813926
3029,242,School,SCH,SCH242,GPS PIND FATEH,33.44897421,72.67698419
3030,243,School,SCH,SCH243,GPS SOUK,33.50411654,72.67960846
3031,244,School,SCH,SCH244,GGES BHAL SYEDAN,33.56857627,72.5822296
3032,245,School,SCH,SCH245,GGES BURAJ,33.53129804,72.57977128
3033,246,School,SCH,SCH246,GGES MAHOORA,33.6078122,72.4443187
3034,247,School,SCH,SCH247,GGPS DHOK KEER,33.5078627,72.55515471
3035,248,School,SCH,SCH248,GGPS DHOK RANJA,33.61392262,72.4098742
3036,249,School,SCH,SCH249,GGPS FATU WALA,33.54071502,72.47617772
3037,250,School,SCH,SCH250,GGPS GAGAN,33.5330223,72.49423583
3038,251,School,SCH,SCH251,GGPS GAROO,33.5237664,72.54189849
3039,252,School,SCH,SCH252,GGPS ICHRIAL,33.52397457,72.46820616
3040,253,School,SCH,SCH253,GGPS KHARALA KALAN,33.55076745,72.59671654
